MIN 49.533048 , 0.059378
MAX 49.486155 , 0.170385
49.499953 , 0.129763 bas du tunnel jenner
49.499975 , 0.131174 186 Rue Aristide Briand
49.499964 , 0.132502 Aristide_|_René baheux
49.499346 , 0.132585 ReneBaheux_|_Lefevreville
49.498934 , 0.132619 ReneBaheux___brozec
49.498874 , 0.132134 brozec edge
49.49862 , 0.132138 helene | brozec
49.498603 , 0.131208 helene_|_ jj rousseau
49.499325 , 0.131208 _Lefevreville_|_jj rousseau
49.498506 , 0.128653 cr republique | helene
49.499417 , 0.1339 Lefevreville | hilaire colombel
49.500005 , 0.133833 hilaire colombel top
49.498996 , 0.134 hilaire colombel down
49.498438 , 0.132647 fauvel top
49.497467 , 0.132773 demidoff | fauvel
49.49736 , 0.131352 demidoff | jj rousseau
49.497875 , 0.131315 jj rousseau | trouin
49.497789 , 0.129125 trouin | zarifian
49.497213 , 0.128842 zarifian | demidoff
49.498065 , 0.128276 trouin | republique
49.496685 , 0.122461
49.497237 , 0.1277 demidoff | republique
49.499982 , 0.12822 joffre | kleber
49.499971 , 0.127718 joffre | fontenoy
49.499959 , 0.126705 joffre | collard
49.498487 , 0.127839 fontenoy | tellier
49.498464 , 0.12687 tellier | collard
49.498447 , 0.126498 tellier | bitche
49.498419 , 0.126112 tellier | ancel
49.498425 , 0.125529 tellier | bougainville
49.49833 , 0.122992 tellier | tourville
49.49828 , 0.122135 tellier | lesueur
49.498586 , 0.12294 neustrie | tourville
49.499098 , 0.124441 neustrie | lecadre
49.499321 , 0.125323 neustrie | bougainville
49.499421 , 0.125563 neustrie | ancel
49.499611 , 0.126155 neustrie bitche
49.499955 , 0.125192 joffre bougainville
49.499897 , 0.124216 joffre lecadre
49.49961 , 0.122726 joffre tourville
49.499424 , 0.121931 joffre lesueur
49.496003 , 0.12676 republique
49.494932 , 0.12594 republique
49.493781 , 0.125003
49.494223 , 0.125371 republique
49.494079 , 0.1241
49.492745 , 0.124153 republique
49.492152 , 0.123707 republique | strasbourg
49.490764 , 0.122794 republique
49.496521 , 0.131492
49.496494 , 0.132813
49.495609 , 0.131589
49.495743 , 0.132799
49.491513 , 0.126176
49.491782 , 0.127084
49.492454 , 0.129918
49.492841 , 0.132209
49.491577 , 0.132816
49.490282 , 0.13363
49.490123 , 0.126652
49.489595 , 0.124556
49.488815 , 0.12008
49.48874 , 0.127486
49.488304 , 0.12539
49.489809 , 0.119387
49.490703 , 0.118837
49.492527 , 0.118803
49.490658 , 0.120052
49.492371 , 0.120121
49.492304 , 0.1216
49.492613 , 0.126683
49.493437 , 0.129545
49.496141 , 0.126003
49.49554 , 0.123754
49.495274 , 0.122743
49.495061 , 0.121942
49.494833 , 0.121108
49.494251 , 0.119655
49.493948 , 0.118882
49.493839 , 0.118377
49.492829 , 0.123178
49.492979 , 0.121505
49.493128 , 0.120161
49.493236 , 0.119065
49.493282 , 0.118558
49.493662 , 0.123
49.493528 , 0.121397
49.494505 , 0.122874
49.494552 , 0.124458
49.499165 , 0.12084
49.498964 , 0.119895
49.498814 , 0.119312
49.498518 , 0.117998
49.499512 , 0.12077
49.49915 , 0.11828
49.499763 , 0.118066
49.499914 , 0.119216
49.498034 , 0.120089
49.497979 , 0.119526
49.497781 , 0.11824
49.497595 , 0.126577
49.49699 , 0.126393
49.4975 , 0.125704
49.496957 , 0.125799
49.497295 , 0.123218
49.496743 , 0.123321
49.496239 , 0.122531
49.49812 , 0.120982
49.496134 , 0.121591
49.497036 , 0.121315
49.496916 , 0.120466
49.496541 , 0.120585
49.496052 , 0.120773
49.496295 , 0.119872
49.496295 , 0.119872
49.49791 , 0.119045
49.495982 , 0.120103
49.495857 , 0.119013
49.49577 , 0.118344
49.494141 , 0.138487
49.496168 , 0.146968
49.500169 , 0.171573
49.501375 , 0.186166
49.500267 , 0.195666
49.498906 , 0.215381
49.497857 , 0.225726
49.496335 , 0.233461
49.495022 , 0.247607
49.495169 , 0.253595
49.493849 , 0.273749
49.490696 , 0.291449
49.491762 , 0.265281
49.499393 , 0.274035
49.481553 , 0.263703
49.452904 , 0.271395
49.414258 , 0.27136
49.549074 , 0.333803
49.555843 , 0.337394
49.552737 , 0.339248
49.581358 , 0.436096
49.583202 , 0.441123
49.581565 , 0.444148
49.490767 , 0.117801
49.490795 , 0.116656
49.490823 , 0.115439
49.490869 , 0.114251
49.490901 , 0.112711
49.490961 , 0.111273
49.490988 , 0.110152
49.491028 , 0.10859
49.491108 , 0.107696
49.491101 , 0.106791
49.491167 , 0.105202
49.491194 , 0.103527
49.491274 , 0.101821
49.491301 , 0.10067
49.49106 , 0.100053
49.491392 , 0.117858
49.491397 , 0.116696
49.491453 , 0.115526
49.491504 , 0.114301
49.49154 , 0.113194
49.491546 , 0.112775
49.491951 , 0.118875
49.491966 , 0.117884
49.492003 , 0.116791
49.492056 , 0.115582
49.492115 , 0.114338
49.492138 , 0.113221
49.492153 , 0.11215
49.492139 , 0.112791
49.492579 , 0.117959
49.492689 , 0.116831
49.492795 , 0.115647
49.492905 , 0.114381
49.493006 , 0.113253
49.493096 , 0.112188
49.49319 , 0.111053
49.493316 , 0.109318
49.492197 , 0.111343
49.492216 , 0.110991
49.492253 , 0.110214
49.492326 , 0.109224
49.490979 , 0.110152
49.491276 , 0.110196
49.491268 , 0.11086
49.49163 , 0.110214
49.492322 , 0.108685
49.492341 , 0.107756
49.492373 , 0.106847
49.492432 , 0.106334
49.493007 , 0.106328
49.493341 , 0.106359
49.493624 , 0.106402
49.494223 , 0.106439
49.494711 , 0.106497
49.494687 , 0.107948
49.494635 , 0.109423
49.494092 , 0.109368
49.49167 , 0.108633
49.491702 , 0.107754
49.493888 , 0.111782
49.494244 , 0.111612
49.494881 , 0.11127
49.496685 , 0.11029
49.495308 , 0.111017
49.495098 , 0.109563
49.496213 , 0.108039
49.496953 , 0.111123
49.497158 , 0.111885
49.495178 , 0.112944
49.49751 , 0.109338
49.497748 , 0.110783
49.497868 , 0.11158
49.494347 , 0.11266
49.493803 , 0.112869
49.49453 , 0.113666
49.494064 , 0.114141
49.493662 , 0.114455
49.493916 , 0.11532
49.493479 , 0.116634
49.494145 , 0.11649
49.4944 , 0.11645
49.494894 , 0.116322
49.49555 , 0.116178
49.495488 , 0.115464
49.495316 , 0.113974
49.495264 , 0.113421
49.49631 , 0.112892
49.496435 , 0.113557
49.497101 , 0.1125
